ID	Name	Useage	KindType	FunctionType	RepresentPos	RepresentID	AppendType	DetachType	BuffType	Level	Intensity	IsStackable	MaxStackNum	Count	Interval	Hide	Exclude	Save	OnStand	OnWalk	OnRun	OnJump	OnSwim	OnFloat	OnSit	OnKnockedDown	OnKnockedBack	OnKnockedOff	OnHalt	OnAutoFly	OnDeath	OnDash	OnPull	OnManaShield	OnFight	OnHorse	OnTerrain	FormationLeader	ScriptFile	GlobalExclude	UniqueTarget	CanCancel	BeginAttrib1	BeginValue1A	BeginValue1B	BeginAttrib2	BeginValue2A	BeginValue2B	BeginAttrib3	BeginValue3A	BeginValue3B	BeginAttrib4	BeginValue4A	BeginValue4B	BeginAttrib5	BeginValue5A	BeginValue5B	BeginAttrib6	BeginValue6A	BeginValue6B	BeginAttrib7	BeginValue7A	BeginValue7B	BeginAttrib8	BeginValue8A	BeginValue8B	BeginAttrib9	BeginValue9A	BeginValue9B	BeginAttrib10	BeginValue10A	BeginValue10B	BeginAttrib11	BeginValue11A	BeginValue11B	BeginAttrib12	BeginValue12A	BeginValue12B	BeginAttrib13	BeginValue13A	BeginValue13B	BeginAttrib14	BeginValue14A	BeginValue14B	BeginAttrib15	BeginValue15A	BeginValue15B	ActiveAttrib1	ActiveValue1A	ActiveValue1B	ActiveAttrib2	ActiveValue2A	ActiveValue2B	EndTimeAttrib1	EndTimeValue1A	EndTimeValue1B	EndTimeAttrib2	EndTimeValue2A	EndTimeValue2B	IsCountable	DecayType	MoveStateMask	MapBanMask	IsOffLineClock	CanAccumulate	SrcDistance	InSprint	InFollow	CancelByUseItem	MapInvalidMask	IsCombatBuff	MinInterval	ClearUnderWater	MoveStateMask2	ShapeShiftInvalid	MaxInterval	ActiveCoefficient	CanBeSteal	NeedSync
101	策划默认项(非程序默认行)	0	None	Normal	Body	0	101	0	Invalid	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	None	Any	Any	Any	0		1	0	1																																																											-1	4294901758	0	0	0	0	Any	Any				1	0	7	1	41472000	1	0	1
103	打坐	11	None	Normal	Body	0	103	0	Invalid	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	None	NotFight	Any	Any	0		0	0	1	atLifeReplenishPercent	33	0	atManaReplenishPercent	33	0	atExecuteScript	skill\江湖\防身武艺_打坐.lua	0	atLifeReplenish	5		atAddSprintPowerRevive	167		atLifeReplenish	30		atManaReplenish	30		atAddHorseSprintPowerRevive	167																																				-1	4290773248		0			Any	Any				0	0	0	1	0	1	0	1
104	浮身	0	None	Normal	Trample	1	104	0	Invalid	1	1	0	1	1	80	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	None	Any	Any	Any	0		0	0	1	atJumpSpeedBase	50	0																																																								-1	4294967294		0			Any	Any				1	0	7	1	41472000	1	0	1
106	加速	13	None	Normal	Trample	5	106	0	Invalid	1	1	0	1	1	480	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	None	Any	Any	Any	0		0	0	1	atMoveSpeedPercent	1024	0																																																								-1	4294967294		0			Any	Any				1	0	7	1	41472000	1	0	1
107	力量提升	0	None	Normal	Trample	6	107	0	Invalid	1	1	0	1	1	160	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	None	Any	Any	Any	0		0	0	1	atStrengthBase	10	0	atSetEquipmentRecipe	644	1	atSetEquipmentRecipe	645	1	atSetEquipmentRecipe	639	1	atSetEquipmentRecipe	640	1	atSetEquipmentRecipe	641	1	atSetEquipmentRecipe	642	1																																						-1	4294967294		0			Any	Any				1	0	7	1	41472000	1	0	1
108	使NPC无法发现自己	0	None	Normal	Body	0	108	0	Invalid	1	1	0	1	1	240	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	None	Any	Any	Any	0		0	0	1	atIgnoreOtherAlarmRange																																																										-1	4294967294		0			Any	Any				1	0	7	1	41472000	1	0	1
109	调整NPC警戒范围	0	None	Normal	Body	0	109	0	Invalid	1	1	0	1	1	240	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	None	Any	Any	Any	0		0	0	1	atSelfAlarmRangeRevise	500	0																																																								-1	4294967294		0			Any	Any				1	0	7	1	41472000	1	0	1
110	修改NPC警戒范围	0	None	Normal	Body	0	110	0	Invalid	1	1	0	1	1	240	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	None	Any	Any	Any	0		0	0	1	atOtherAlarmRangeRevise	500	0																																																								-1	4294967294		0			Any	Any				1	0	7	1	41472000	1	0	1
112	清心静气	2	None	Normal	Body	0	112	5	Invalid	1	65	0	1	1	28800	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	None	Any	Any	Any	0		1	0	1	atMaxLifePercentAdd	67	0																																																								-1	4294901758		0			Any	Any				28800	0	7	1	28800	1	1	1
112	清心静气	2	None	Normal	Body	0	112	5	Invalid	2	70	0	1	1	28800	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	None	Any	Any	Any	0		1	0	1	atMaxLifePercentAdd	72	0																																																								-1	4294901758		0			Any	Any				28800	0	7	1	28800	1	1	1
